YEAR,MONTH,DAY,SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,DEST_AIRPORT,DEPARTURE_DELAY
2025,7,1,2259,8.0,510,617.0,JFK,69.0
2025,7,1,1410,1402.0,1514,1500.0,HPN,-8.0
2025,7,1,1250,1242.0,1400,1337.0,JFK,-8.0
2025,7,1,1520,1605.0,1640,1751.0,JFK,45.0
2025,7,1,1618,1904.0,1729,2017.0,JFK,166.0
2025,7,1,1134,1137.0,1249,1245.0,LGA,3.0
2025,7,1,1205,1201.0,1327,1350.0,LGA,-4.0
2025,7,1,1314,1310.0,1430,1418.0,LGA,-4.0
2025,7,1,613,619.0,844,835.0,ATL,6.0
2025,7,1,1243,1250.0,1516,1603.0,ATL,7.0
2025,7,1,1320,1325.0,1445,1440.0,BNA,5.0
2025,7,1,600,556.0,720,712.0,BWI,-4.0
2025,7,1,840,900.0,1000,1009.0,BWI,20.0
2025,7,1,1245,1237.0,1405,1351.0,BWI,-8.0
2025,7,1,1510,1754.0,1630,1928.0,BWI,164.0
2025,7,1,1640,1725.0,1800,1921.0,BWI,45.0
2025,7,1,719,714.0,929,907.0,CLT,-5.0
2025,7,1,1136,1148.0,1343,1348.0,CLT,12.0
2025,7,1,1718,1900.0,1927,2118.0,CLT,102.0
2025,7,1,518,513.0,649,633.0,DCA,-5.0
2025,7,1,700,700.0,905,904.0,DEN,0.0
2025,7,1,601,713.0,847,943.0,DFW,72.0
2025,7,1,600,558.0,745,731.0,DTW,-2.0
2025,7,1,1702,1700.0,1850,1904.0,DTW,-2.0
2025,7,1,600,554.0,915,900.0,FLL,-6.0
2025,7,1,1038,1104.0,1349,1414.0,FLL,26.0
2025,7,1,1545,1547.0,1800,1754.0,LAS,2.0
2025,7,1,830,821.0,1125,1124.0,MCO,-9.0
2025,7,1,1233,1239.0,1539,1527.0,MCO,6.0
2025,7,1,630,621.0,740,729.0,MDW,-9.0
2025,7,1,1225,1321.0,1335,1422.0,MDW,56.0
2025,7,1,1655,1724.0,1815,1857.0,MDW,29.0
2025,7,1,600,550.0,732,701.0,ORD,-10.0
2025,7,1,700,653.0,835,839.0,ORD,-7.0
2025,7,1,1136,1231.0,1304,1347.0,ORD,55.0
2025,7,1,1310,1309.0,1443,1437.0,ORD,-1.0
2025,7,1,1647,1642.0,1820,1939.0,ORD,-5.0
2025,7,1,1816,1810.0,1945,2000.0,ORD,-6.0
2025,7,1,2020,2014.0,733,707.0,JFK,-6.0
2025,7,1,922,922.0,1138,1126.0,ALB,0.0
2025,7,1,2135,2227.0,2356,133.0,ALB,52.0
2025,7,1,905,900.0,1105,1103.0,BUF,-5.0
2025,7,1,1209,1324.0,1418,1534.0,BUF,75.0
2025,7,1,1401,1455.0,1604,1707.0,BUF,54.0
2025,7,1,2147,2227.0,2351,104.0,BUF,40.0
2025,7,1,940,954.0,1204,1206.0,HPN,14.0
2025,7,1,1959,2249.0,2225,134.0,HPN,170.0
2025,7,1,501,452.0,729,727.0,JFK,-9.0
2025,7,1,739,739.0,1000,952.0,JFK,0.0
2025,7,1,855,923.0,1119,1133.0,JFK,28.0
2025,7,1,947,958.0,1208,1214.0,JFK,11.0
2025,7,1,1215,1215.0,1442,1444.0,JFK,0.0
2025,7,1,1520,1546.0,1805,218.0,JFK,26.0
2025,7,1,1640,1909.0,1930,2148.0,JFK,149.0
2025,7,1,1730,2310.0,2000,202.0,JFK,340.0
2025,7,1,1940,2241.0,2223,139.0,JFK,181.0
2025,7,1,2215,2323.0,44,206.0,JFK,68.0
2025,7,1,2240,2309.0,113,148.0,JFK,29.0
2025,7,1,615,613.0,825,823.0,LGA,-2.0
2025,7,1,730,726.0,943,934.0,LGA,-4.0
2025,7,1,810,924.0,1031,1143.0,LGA,74.0
2025,7,1,830,826.0,1045,1042.0,LGA,-4.0
2025,7,1,930,928.0,1146,1141.0,LGA,-2.0
2025,7,1,1030,1028.0,1243,1237.0,LGA,-2.0
2025,7,1,1130,1138.0,1343,1346.0,LGA,8.0
2025,7,1,1230,1312.0,1449,1602.0,LGA,42.0
2025,7,1,1235,1251.0,1445,1542.0,LGA,16.0
2025,7,1,1330,1325.0,1549,1558.0,LGA,-5.0
2025,7,1,1530,2149.0,1749,25.0,LGA,379.0
2025,7,1,1800,2155.0,2027,36.0,LGA,235.0
2025,7,1,1900,2103.0,2125,2312.0,LGA,123.0
2025,7,1,1940,2146.0,2155,21.0,LGA,126.0
2025,7,1,2000,2132.0,2225,2342.0,LGA,92.0
2025,7,1,2100,556.0,2326,805.0,LGA,536.0
2025,7,1,2100,2139.0,2324,2351.0,LGA,39.0
2025,7,1,931,927.0,1135,1129.0,ROC,-4.0
2025,7,1,2250,12.0,54,209.0,ROC,82.0
2025,7,1,855,852.0,1103,1111.0,SYR,-3.0
2025,7,1,2145,2229.0,2357,114.0,SYR,44.0
2025,7,1,720,719.0,1211,1157.0,JFK,-1.0
2025,7,1,1117,1115.0,1620,1622.0,JFK,-2.0
2025,7,1,1505,1753.0,2000,2255.0,JFK,168.0
2025,7,1,1550,1606.0,2114,2058.0,JFK,16.0
2025,7,1,1835,1835.0,2342,4.0,JFK,0.0
2025,7,1,1425,1424.0,1618,1634.0,LGA,-1.0
2025,7,1,712,724.0,814,811.0,JFK,12.0
2025,7,1,1425,1456.0,1601,1630.0,DTW,31.0
2025,7,1,1125,1113.0,1259,1240.0,LGA,-12.0
2025,7,1,1130,1133.0,1455,1437.0,ALB,3.0
2025,7,1,925,930.0,1215,1211.0,BUF,5.0
2025,7,1,600,559.0,927,919.0,JFK,-1.0
2025,7,1,855,906.0,1229,1241.0,JFK,11.0
2025,7,1,1552,1742.0,1915,2124.0,JFK,110.0
2025,7,1,600,552.0,929,930.0,LGA,-8.0
2025,7,1,608,602.0,930,920.0,LGA,-6.0
2025,7,1,650,646.0,1010,955.0,LGA,-4.0
2025,7,1,1040,1037.0,1359,1348.0,LGA,-3.0
2025,7,1,1130,1128.0,1450,1519.0,LGA,-2.0
2025,7,1,1438,1443.0,1759,1810.0,LGA,5.0
2025,7,1,1959,2302.0,2328,207.0,LGA,183.0
2025,7,1,2000,2114.0,2320,29.0,LGA,74.0
2025,7,1,927,918.0,1101,1038.0,BUF,-9.0
2025,7,1,1125,1110.0,1258,1238.0,BUF,-15.0
2025,7,1,1515,1511.0,1652,1635.0,BUF,-4.0
2025,7,1,1936,1931.0,2111,2252.0,BUF,-5.0
2025,7,1,525,516.0,640,626.0,JFK,-9.0
2025,7,1,605,557.0,729,718.0,JFK,-8.0
2025,7,1,710,702.0,830,809.0,JFK,-8.0
2025,7,1,713,706.0,849,837.0,JFK,-7.0
2025,7,1,840,828.0,959,934.0,JFK,-12.0
2025,7,1,945,942.0,1106,1051.0,JFK,-3.0
2025,7,1,1000,954.0,1120,1110.0,JFK,-6.0
2025,7,1,1115,1110.0,1232,1215.0,JFK,-5.0
2025,7,1,1323,1320.0,1459,1542.0,JFK,-3.0
2025,7,1,1359,1542.0,1515,1710.0,JFK,103.0
2025,7,1,1705,2011.0,1830,2301.0,JFK,186.0
2025,7,1,2040,144.0,2221,303.0,JFK,304.0
2025,7,1,600,555.0,723,717.0,LGA,-5.0
2025,7,1,700,653.0,827,811.0,LGA,-7.0
2025,7,1,900,852.0,1020,1008.0,LGA,-8.0
2025,7,1,1000,955.0,1120,1109.0,LGA,-5.0
2025,7,1,1045,1035.0,1200,1149.0,LGA,-10.0
2025,7,1,1100,1054.0,1220,1208.0,LGA,-6.0
2025,7,1,1200,1319.0,1317,1431.0,LGA,79.0
2025,7,1,1215,1209.0,1331,1332.0,LGA,-6.0
2025,7,1,1300,1250.0,1424,1437.0,LGA,-10.0
2025,7,1,1400,1356.0,1525,1529.0,LGA,-4.0
2025,7,1,1714,1739.0,1838,1903.0,SYR,25.0
2025,7,1,605,549.0,957,929.0,JFK,-16.0
2025,7,1,940,933.0,1334,1306.0,JFK,-7.0
2025,7,1,600,604.0,807,805.0,ATL,4.0
2025,7,1,1210,1229.0,1414,1421.0,ATL,19.0
2025,7,1,1511,1708.0,1734,1919.0,ATL,117.0
2025,7,1,1710,1809.0,1919,2117.0,ATL,59.0
2025,7,1,1300,1307.0,1400,1427.0,BNA,7.0
2025,7,1,800,754.0,920,910.0,BOS,-6.0
2025,7,1,1146,1149.0,1312,1257.0,BOS,3.0
2025,7,1,1344,1409.0,1514,1523.0,BOS,25.0
2025,7,1,1737,1757.0,1910,1937.0,BOS,20.0
2025,7,1,615,608.0,730,721.0,BWI,-7.0
2025,7,1,835,835.0,945,942.0,BWI,0.0
2025,7,1,1240,1757.0,1355,1908.0,BWI,317.0
2025,7,1,1405,1803.0,1520,1925.0,BWI,238.0
2025,7,1,1655,1836.0,1805,1939.0,BWI,101.0
2025,7,1,634,1005.0,825,1150.0,CLT,211.0
2025,7,1,1009,1007.0,1204,1204.0,CLT,-2.0
2025,7,1,1348,1352.0,1540,1545.0,CLT,4.0
2025,7,1,1922,2024.0,2119,2219.0,CLT,62.0
2025,7,1,520,521.0,638,643.0,DCA,1.0
2025,7,1,1152,1212.0,1314,1322.0,DCA,20.0
2025,7,1,820,817.0,950,936.0,DEN,-3.0
2025,7,1,825,823.0,1010,1006.0,DEN,-2.0
2025,7,1,700,658.0,918,917.0,DFW,-2.0
2025,7,1,1739,1733.0,1959,1954.0,DFW,-6.0
2025,7,1,630,2004.0,741,2104.0,DTW,814.0
