YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY
2025,7,1,2,ABQ,JFK,2259,8.0,69.0,510,617.0,67.0
2025,7,1,2,ACK,HPN,1410,1402.0,-8.0,1514,1500.0,-14.0
2025,7,1,2,ACK,HPN,1826,,,1930,,
2025,7,1,2,ACK,JFK,1250,1242.0,-8.0,1400,1337.0,-23.0
2025,7,1,2,ACK,JFK,1520,1605.0,45.0,1640,1751.0,71.0
2025,7,1,2,ACK,JFK,1618,1904.0,166.0,1729,2017.0,168.0
2025,7,1,2,ACK,LGA,1134,1137.0,3.0,1249,1245.0,-4.0
2025,7,1,2,ACK,LGA,1205,1201.0,-4.0,1327,1350.0,23.0
2025,7,1,2,ACK,LGA,1314,1310.0,-4.0,1430,1418.0,-12.0
2025,7,1,2,ACK,LGA,1645,,,1809,,
2025,7,1,2,ALB,ATL,613,619.0,6.0,844,835.0,-9.0
2025,7,1,2,ALB,ATL,1243,1250.0,7.0,1516,1603.0,47.0
2025,7,1,2,ALB,ATL,1908,,,2150,,
2025,7,1,2,ALB,BNA,1320,1325.0,5.0,1445,1440.0,-5.0
2025,7,1,2,ALB,BWI,600,556.0,-4.0,720,712.0,-8.0
2025,7,1,2,ALB,BWI,840,900.0,20.0,1000,1009.0,9.0
2025,7,1,2,ALB,BWI,1245,1237.0,-8.0,1405,1351.0,-14.0
2025,7,1,2,ALB,BWI,1510,1754.0,164.0,1630,1928.0,178.0
2025,7,1,2,ALB,BWI,1640,1725.0,45.0,1800,1921.0,81.0
2025,7,1,2,ALB,CLT,719,714.0,-5.0,929,907.0,-22.0
2025,7,1,2,ALB,CLT,1136,1148.0,12.0,1343,1348.0,5.0
2025,7,1,2,ALB,CLT,1718,1900.0,102.0,1927,2118.0,111.0
2025,7,1,2,ALB,DCA,518,513.0,-5.0,649,633.0,-16.0
2025,7,1,2,ALB,DCA,1224,1707.0,283.0,1359,,
2025,7,1,2,ALB,DCA,1348,,,1518,,
2025,7,1,2,ALB,DCA,1736,,,1915,,
2025,7,1,2,ALB,DEN,700,700.0,0.0,905,904.0,-1.0
2025,7,1,2,ALB,DFW,601,713.0,72.0,847,943.0,56.0
2025,7,1,2,ALB,DTW,600,558.0,-2.0,745,731.0,-14.0
2025,7,1,2,ALB,DTW,1702,1700.0,-2.0,1850,1904.0,14.0
2025,7,1,2,ALB,FLL,600,554.0,-6.0,915,900.0,-15.0
2025,7,1,2,ALB,FLL,1038,1104.0,26.0,1349,1414.0,25.0
2025,7,1,2,ALB,LAS,1545,1547.0,2.0,1800,1754.0,-6.0
2025,7,1,2,ALB,MCO,830,821.0,-9.0,1125,1124.0,-1.0
2025,7,1,2,ALB,MCO,1233,1239.0,6.0,1539,1527.0,-12.0
2025,7,1,2,ALB,MDW,630,621.0,-9.0,740,729.0,-11.0
2025,7,1,2,ALB,MDW,1225,1321.0,56.0,1335,1422.0,47.0
2025,7,1,2,ALB,MDW,1655,1724.0,29.0,1815,1857.0,42.0
2025,7,1,2,ALB,ORD,600,550.0,-10.0,732,701.0,-31.0
2025,7,1,2,ALB,ORD,700,653.0,-7.0,835,839.0,4.0
2025,7,1,2,ALB,ORD,1136,1231.0,55.0,1304,1347.0,43.0
2025,7,1,2,ALB,ORD,1310,1309.0,-1.0,1443,1437.0,-6.0
2025,7,1,2,ALB,ORD,1647,1642.0,-5.0,1820,1939.0,79.0
2025,7,1,2,ALB,ORD,1816,1810.0,-6.0,1945,2000.0,15.0
2025,7,1,2,ANC,JFK,2020,2014.0,-6.0,733,707.0,-26.0
2025,7,1,2,ATL,ALB,922,922.0,0.0,1138,1126.0,-12.0
2025,7,1,2,ATL,ALB,1551,,,1809,,
2025,7,1,2,ATL,ALB,2135,2227.0,52.0,2356,133.0,97.0
2025,7,1,2,ATL,BUF,905,900.0,-5.0,1105,1103.0,-2.0
2025,7,1,2,ATL,BUF,1209,1324.0,75.0,1418,1534.0,76.0
2025,7,1,2,ATL,BUF,1401,1455.0,54.0,1604,1707.0,63.0
2025,7,1,2,ATL,BUF,2147,2227.0,40.0,2351,104.0,73.0
2025,7,1,2,ATL,HPN,940,954.0,14.0,1204,1206.0,2.0
2025,7,1,2,ATL,HPN,1959,2249.0,170.0,2225,134.0,189.0
2025,7,1,2,ATL,JFK,501,452.0,-9.0,729,727.0,-2.0
2025,7,1,2,ATL,JFK,707,,,929,,
2025,7,1,2,ATL,JFK,739,739.0,0.0,1000,952.0,-8.0
2025,7,1,2,ATL,JFK,855,923.0,28.0,1119,1133.0,14.0
2025,7,1,2,ATL,JFK,947,958.0,11.0,1208,1214.0,6.0
2025,7,1,2,ATL,JFK,1215,1215.0,0.0,1442,1444.0,2.0
2025,7,1,2,ATL,JFK,1520,1546.0,26.0,1805,218.0,
2025,7,1,2,ATL,JFK,1640,1909.0,149.0,1930,2148.0,138.0
2025,7,1,2,ATL,JFK,1730,2310.0,340.0,2000,202.0,362.0
2025,7,1,2,ATL,JFK,1940,2241.0,181.0,2223,139.0,196.0
2025,7,1,2,ATL,JFK,2215,2323.0,68.0,44,206.0,82.0
2025,7,1,2,ATL,JFK,2240,2309.0,29.0,113,148.0,35.0
2025,7,1,2,ATL,LGA,600,,,814,,
2025,7,1,2,ATL,LGA,615,613.0,-2.0,825,823.0,-2.0
2025,7,1,2,ATL,LGA,730,726.0,-4.0,943,934.0,-9.0
2025,7,1,2,ATL,LGA,810,924.0,74.0,1031,1143.0,72.0
2025,7,1,2,ATL,LGA,830,826.0,-4.0,1045,1042.0,-3.0
2025,7,1,2,ATL,LGA,930,928.0,-2.0,1146,1141.0,-5.0
2025,7,1,2,ATL,LGA,1030,1028.0,-2.0,1243,1237.0,-6.0
2025,7,1,2,ATL,LGA,1130,1138.0,8.0,1343,1346.0,3.0
2025,7,1,2,ATL,LGA,1230,1312.0,42.0,1449,1602.0,73.0
2025,7,1,2,ATL,LGA,1235,1251.0,16.0,1445,1542.0,57.0
2025,7,1,2,ATL,LGA,1330,1325.0,-5.0,1549,1558.0,9.0
2025,7,1,2,ATL,LGA,1430,,,1649,,
2025,7,1,2,ATL,LGA,1530,,,1745,,
2025,7,1,2,ATL,LGA,1530,2149.0,379.0,1749,25.0,396.0
2025,7,1,2,ATL,LGA,1700,,,1920,,
2025,7,1,2,ATL,LGA,1800,2155.0,235.0,2027,36.0,249.0
2025,7,1,2,ATL,LGA,1900,2103.0,123.0,2125,2312.0,107.0
2025,7,1,2,ATL,LGA,1940,2146.0,126.0,2155,21.0,146.0
2025,7,1,2,ATL,LGA,2000,2132.0,92.0,2225,2342.0,77.0
2025,7,1,2,ATL,LGA,2100,556.0,536.0,2326,805.0,519.0
2025,7,1,2,ATL,LGA,2100,2139.0,39.0,2324,2351.0,27.0
2025,7,1,2,ATL,ROC,931,927.0,-4.0,1135,1129.0,-6.0
2025,7,1,2,ATL,ROC,1517,,,1722,,
2025,7,1,2,ATL,ROC,2250,12.0,82.0,54,209.0,75.0
2025,7,1,2,ATL,SYR,855,852.0,-3.0,1103,1111.0,8.0
2025,7,1,2,ATL,SYR,1535,,,1746,,
2025,7,1,2,ATL,SYR,2145,2229.0,44.0,2357,114.0,77.0
2025,7,1,2,AUS,JFK,609,,,1103,,
2025,7,1,2,AUS,JFK,720,719.0,-1.0,1211,1157.0,-14.0
2025,7,1,2,AUS,JFK,1117,1115.0,-2.0,1620,1622.0,2.0
2025,7,1,2,AUS,JFK,1505,1753.0,168.0,2000,2255.0,175.0
2025,7,1,2,AUS,JFK,1550,1606.0,16.0,2114,2058.0,-16.0
2025,7,1,2,AUS,JFK,1835,1835.0,0.0,2342,4.0,22.0
2025,7,1,2,AVL,LGA,1425,1424.0,-1.0,1618,1634.0,16.0
2025,7,1,2,BDL,JFK,712,724.0,12.0,814,811.0,-3.0
2025,7,1,2,BGM,DTW,1425,1456.0,31.0,1601,1630.0,29.0
2025,7,1,2,BGR,LGA,1125,1113.0,-12.0,1259,1240.0,-19.0
2025,7,1,2,BGR,LGA,1643,1758.0,75.0,1820,,
2025,7,1,2,BNA,ALB,1130,1133.0,3.0,1455,1437.0,-18.0
2025,7,1,2,BNA,BUF,925,930.0,5.0,1215,1211.0,-4.0
2025,7,1,2,BNA,JFK,600,559.0,-1.0,927,919.0,-8.0
2025,7,1,2,BNA,JFK,855,906.0,11.0,1229,1241.0,12.0
2025,7,1,2,BNA,JFK,1552,1742.0,110.0,1915,2124.0,129.0
2025,7,1,2,BNA,JFK,1629,,,2000,,
2025,7,1,2,BNA,LGA,600,552.0,-8.0,929,930.0,1.0
2025,7,1,2,BNA,LGA,608,602.0,-6.0,930,920.0,-10.0
2025,7,1,2,BNA,LGA,650,646.0,-4.0,1010,955.0,-15.0
2025,7,1,2,BNA,LGA,1040,1037.0,-3.0,1359,1348.0,-11.0
2025,7,1,2,BNA,LGA,1130,1128.0,-2.0,1450,1519.0,29.0
2025,7,1,2,BNA,LGA,1438,1443.0,5.0,1759,1810.0,11.0
2025,7,1,2,BNA,LGA,1600,,,1929,,
2025,7,1,2,BNA,LGA,1650,,,2015,,
2025,7,1,2,BNA,LGA,1727,,,2048,,
2025,7,1,2,BNA,LGA,1959,2302.0,183.0,2328,207.0,159.0
2025,7,1,2,BNA,LGA,2000,2114.0,74.0,2320,29.0,69.0
2025,7,1,2,BOS,BUF,927,918.0,-9.0,1101,1038.0,-23.0
2025,7,1,2,BOS,BUF,1125,1110.0,-15.0,1258,1238.0,-20.0
2025,7,1,2,BOS,BUF,1515,1511.0,-4.0,1652,1635.0,-17.0
2025,7,1,2,BOS,BUF,1936,1931.0,-5.0,2111,2252.0,101.0
2025,7,1,2,BOS,JFK,525,516.0,-9.0,640,626.0,-14.0
2025,7,1,2,BOS,JFK,605,557.0,-8.0,729,718.0,-11.0
2025,7,1,2,BOS,JFK,710,702.0,-8.0,830,809.0,-21.0
